"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
1,"Q09666|AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2",-0.424261719388966,22.1149676834588,-0.945670864354319,0.348837413923995,0.576101593302529,-5.38789497090125
2,"P21333|FLNA_HUMAN","Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",-0.991346632029057,21.9473188222756,-2.21544665524401,0.0312843319235063,0.331060485490274,-3.63508211663307
3,"P08670|VIME_HUMAN","Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4",-0.200019556020894,22.4953485124903,-0.445704680914796,0.657723194164087,0.790104644331165,-5.70691588437416
4,"P35579|MYH9_HUMAN","Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4",-0.736887635390712,20.6838961714807,-1.4873089430894,0.14317570069545,0.420050187165385,-4.79632766659348
5,"Q15149|PLEC_HUMAN","Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3",-0.697840562628521,19.2403410296585,-1.37860268611641,0.174118158702998,0.441624863794215,-4.93470530660424
6,"Q9Y490|TLN1_HUMAN","Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3",-0.91935069347236,20.1091856317114,-1.84596669173522,0.0707861387239978,0.374885133083069,-4.27353490154872
7,"P60709|ACTB_HUMAN","Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",-2.58345192663751,9.96657586638146,-1.65262584177363,0.104636574966102,0.387142333108459,-4.5677489156436
8,"P63261|ACTG_HUMAN","Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",-1.34971405832234,8.6190009094809,-0.689003877887106,0.493986981417061,0.675214829883619,-5.57973805078611
9,"P46940|IQGA1_HUMAN","Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1",-1.08789009688061,19.1586717335981,-2.02927408574035,0.0477385688563666,0.354698763841406,-3.96889729651636
10,"Q14204|DYHC1_HUMAN","Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5",-0.877790102489598,17.284555380925,-1.53342060302476,0.131438677390559,0.411764075527387,-4.73474909107343
11,"P13796|PLSL_HUMAN","Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6",-1.11238664775944,20.6043421945614,-2.31539746208864,0.0247083653796649,0.31600086074823,-3.44614169045985
12,"Q9NZM1|MYOF_HUMAN","Myoferlin OS=Homo sapiens OX=9606 GN=MYOF PE=1 SV=1",-1.15385442161289,17.9131810957092,-2.11372272010354,0.0395198596069438,0.348081871834575,-3.82045426813291
12,"A0AVI2|FR1L5_HUMAN","Fer-1-like protein 5 OS=Homo sapiens OX=9606 GN=FER1L5 PE=2 SV=3",-0.511079041207477,11.2907440397735,-0.47228864980506,0.638763508432276,0.776244235794491,-5.69564331343239
13,"P11142|HSP7C_HUMAN","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",-0.901998244094703,20.4262520891619,-1.86912591764318,0.06743308666176,0.373876777514695,-4.23640294905867
14,"P06733|ENOA_HUMAN","Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2",-0.680640778966193,21.4575435051078,-1.51662265140778,0.135622176688092,0.413952924604843,-4.75737841250858
15,"P11021|BIP_HUMAN","Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2",-0.516165553825171,20.5509697424531,-1.06628663903586,0.291385637552662,0.527753549596012,-5.27771633684267
16,"Q9UPN3|MACF1_HUMAN","Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5 OS=Homo sapiens OX=9606 GN=MACF1 PE=1 SV=4",0.893731603047492,16.5541848079954,1.47022669235717,0.147728480146963,0.422207408090888,-4.81870662933286
17,"O75369|FLNB_HUMAN","Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2",-1.40182587114466,16.6186546506185,-2.30810034639166,0.0251430146828103,0.31600086074823,-3.46015944907262
