"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
1,"P35579|MYH9_HUMAN","Myosin-9 OS=Homo sapiens OX=9606 GN=MYH9 PE=1 SV=4",16.0156393380162,10.9646719082149,23.7241648509693,2.18395369083881e-16,7.24891282025974e-15,18.3732169605779
2,"Q15149|PLEC_HUMAN","Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3",8.76187500053052,13.6119376900967,7.7660722192249,7.1306377449102e-07,1.85117702750535e-06,5.44305979551483
3,"P21333|FLNA_HUMAN","Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4",10.6077536240912,12.5249567848376,11.4944409148541,2.14229694946637e-10,7.15337663091547e-10,11.5800850500422
4,"P08238|HS90B_HUMAN","Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4",13.9169015505222,12.1434094437301,11.0267919988123,1.67322469067043e-08,4.73670224932439e-08,7.90767182667131
4,"Q58FF7|H90B3_HUMAN","Putative heat shock protein HSP 90-beta-3 OS=Homo sapiens OX=9606 GN=HSP90AB3P PE=5 SV=1",15.1336681814183,10.5236863299159,23.748451682207,2.14011379620138e-16,7.22757729418888e-15,18.3798400407072
4,"Q58FF8|H90B2_HUMAN","Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2",14.1473978161296,10.0305511472716,24.4362680484266,1.21467556078523e-16,6.72811001156658e-15,18.5612282893949
5,"Q13813|SPTN1_HUMAN","Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3",13.0254453901671,10.4463725820284,13.6922394686135,1.53321117292364e-11,6.14416476287978e-11,13.0820717510528
6,"P63261|ACTG_HUMAN","Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",4.57578706425577,17.6202975742449,7.62147925650328,2.07519498846844e-07,5.5138031094572e-07,6.54284592659742
6,"P60709|ACTB_HUMAN","Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",4.57578706425577,17.6202975742449,7.62147925650328,2.07519498846844e-07,5.5138031094572e-07,6.54284592659742
7,"P05787|K2C8_HUMAN","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",7.92828087526942,17.6633067128422,13.4647386463831,1.20204541710466e-11,4.91472475638543e-11,13.3856089381913
7,"O95678|K2C75_HUMAN","Keratin, type II cytoskeletal 75 OS=Homo sapiens OX=9606 GN=KRT75 PE=1 SV=2",4.88919640311712,5.40145044076535,2.72299386263177,0.0129145951541858,0.0182798497586821,-2.8684286050752
8,"P07900|HS90A_HUMAN","Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5",13.6950037200777,11.4725820053831,12.7632300137814,1.40918940353815e-10,4.83114799966328e-10,11.4914638163692
