"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
911,"Q86UL3|GPAT4_HUMAN","Glycerol-3-phosphate acyltransferase 4 OS=Homo sapiens GN=GPAT4 PE=1 SV=1",3.3840200394577,5.12460850772857,1.94156127591327,0.0726462060458408,0.267321294349265,-4.61703250309425
1028,"O75907|DGAT1_HUMAN","Diacylglycerol O-acyltransferase 1 OS=Homo sapiens GN=DGAT1 PE=1 SV=2",3.72137599335995,5.29328648467969,2.54841820366003,0.0232254928579967,0.199690280655636,-3.59132314010045
831,"Q3KQZ1|S2535_HUMAN","Solute carrier family 25 member 35 OS=Homo sapiens GN=SLC25A35 PE=2 SV=1",2.40922140058111,4.63720918829027,1.84237806756706,0.0867540850503059,0.285254481324324,-4.77103779529436
983,"Q9BZW5|TM6S1_HUMAN","Transmembrane 6 superfamily member 1 OS=Homo sapiens GN=TM6SF1 PE=1 SV=2",2.21976113837832,4.54247905718888,1.77819954606843,0.0971456783138951,0.298303550915567,-4.86812927250314
928,"Q9NZC3|GDE1_HUMAN","Glycerophosphodiester phosphodiesterase 1 OS=Homo sapiens GN=GDE1 PE=1 SV=1",2.30761838982714,4.58640768291329,1.82056584341002,0.0901688357901919,0.290204320691264,-4.80426933436239
1224,"P49069|CAMLG_HUMAN","Calcium signal-modulating cyclophilin ligand OS=Homo sapiens GN=CAMLG PE=1 SV=1",1.7163256941836,4.29076133509152,1.42223192755375,0.176912756495475,0.383822576004355,-5.3648050920747
1124,"Q2M2I8|AAK1_HUMAN","AP2-associated protein kinase 1 OS=Homo sapiens GN=AAK1 PE=1 SV=3",2.21170892401043,4.53845295000493,1.8081396953713,0.0921673881443754,0.291399071127831,-4.82309439711121
1035,"Q6NXT6|TAPT1_HUMAN","Transmembrane anterior posterior transformation protein 1 homolog OS=Homo sapiens GN=TAPT1 PE=1 SV=1",2.21119331616429,4.53819514608186,1.80839957320612,0.0921251898278447,0.291399071127831,-4.82270149264732
729,"Q7L1W4|LRC8D_HUMAN","Volume-regulated anion channel subunit LRRC8D OS=Homo sapiens GN=LRRC8D PE=1 SV=1",2.13822601457053,4.50171149528498,1.79247490586041,0.0947430026138189,0.295672685123463,-4.84671419120652
775,"Q8NG11|TSN14_HUMAN","Tetraspanin-14 OS=Homo sapiens GN=TSPAN14 PE=1 SV=1",2.96810137620395,4.91664917610169,2.35623659582182,0.0336053679773178,0.219297055032067,-3.92914760814216
1057,"Q96BI3|APH1A_HUMAN","Gamma-secretase subunit APH-1A OS=Homo sapiens GN=APH1A PE=1 SV=1",2.08749893819573,4.47634795709758,1.78265756908532,0.0963896086165992,0.298297646721565,-4.86145290883565
945,"Q96ES6|MFSD3_HUMAN","Major facilitator superfamily domain-containing protein 3 OS=Homo sapiens GN=MFSD3 PE=2 SV=1",2.05815182731896,4.4616744016592,1.77891773653466,0.0970235206161922,0.298303550915567,-4.8670544023678
1158,"Q9BUM1|G6PC3_HUMAN","Glucose-6-phosphatase 3 OS=Homo sapiens GN=G6PC3 PE=1 SV=2",2.02078560415178,4.44299129007561,1.76111411474975,0.100092234769081,0.300757029970096,-4.89362062936843
776,"Q9H0V9|LMA2L_HUMAN","VIP36-like protein OS=Homo sapiens GN=LMAN2L PE=1 SV=1",3.04781875620087,4.95650786610015,2.44983113929932,0.0280932639615033,0.211509141876418,-3.76585639531523
720,"Q9H2F3|3BHS7_HUMAN","3 beta-hydroxysteroid dehydrogenase type 7 OS=Homo sapiens GN=HSD3B7 PE=1 SV=2",3.66633109308261,5.26576403454102,3.09038347390288,0.00800460582699061,0.156019597785729,-2.59838957678707
1195,"Q8N6S5|AR6P6_HUMAN","ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Homo sapiens GN=ARL6IP6 PE=1 SV=1",2.01820744088768,4.44170220844356,1.76888277487758,0.0987427799681736,0.300556790533263,-4.88204876158724
1243,"Q8N5M9|JAGN1_HUMAN","Protein jagunal homolog 1 OS=Homo sapiens GN=JAGN1 PE=1 SV=1",2.83549598608924,4.85034648104434,2.40103588528199,0.0308496718200439,0.215103924126844,-3.85129770820726
955,"Q9NRM0|GTR9_HUMAN","Solute carrier family 2, facilitated glucose transporter member 9 OS=Homo sapiens GN=SLC2A9 PE=1 SV=2",1.87807343505829,4.37163520552886,1.73634569418215,0.104504099421487,0.305536985413874,-4.93030159957667
766,"O95674|CDS2_HUMAN","Phosphatidate cytidylyltransferase 2 OS=Homo sapiens GN=CDS2 PE=1 SV=1",3.38902927342284,5.12711312471114,2.97985267632719,0.00996457347892742,0.169636669968539,-2.80431283180036
902,"Q9NPH3|IL1AP_HUMAN","Interleukin-1 receptor accessory protein OS=Homo sapiens GN=IL1RAP PE=1 SV=2",2.69205928154506,4.77862812877225,2.35378693434267,0.0337625961975685,0.219297055032067,-3.93338746793801
869,"P02751|FINC_HUMAN","Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4",1.74283868168364,4.30401782884154,1.69432296510912,0.11238184342558,0.315293505166211,-4.99177918828166
1151,"Q9BX74|TM2D1_HUMAN","TM2 domain-containing protein 1 OS=Homo sapiens GN=TM2D1 PE=1 SV=1",2.09856275283358,4.48187986441651,2.08516644292289,0.0558948741852596,0.243950430045695,-4.38624738843568
992,"P03905|NU4M_HUMAN","NADH-ubiquinone oxidoreductase chain 4 OS=Homo sapiens GN=MT-ND4 PE=1 SV=1",1.70455093706032,4.28487395652988,1.67876359836849,0.115427920304744,0.319006018553658,-5.01429543769435
1076,"Q9GZM5|YIPF3_HUMAN","Protein YIPF3 OS=Homo sapiens GN=YIPF3 PE=1 SV=1",1.56685553898816,4.2160262574938,1.50520672756112,0.154553962988676,0.361048483024857,-5.25589769667871
199,"Q9BY15|AGRE3_HUMAN","Adhesion G protein-coupled receptor E3 OS=Homo sapiens GN=ADGRE3 PE=2 SV=2",1.67428459511713,4.26974078555828,1.57155002906353,0.138434352246921,0.342540234624341,-5.16567486300139
1204,"Q9NY35|CLDN1_HUMAN","Claudin domain-containing protein 1 OS=Homo sapiens GN=CLDND1 PE=1 SV=1",1.68008111315395,4.27263904457669,1.58302834028062,0.135796203350595,0.342540234624341,-5.14979146632403
1038,"O95477|ABCA1_HUMAN","ATP-binding cassette sub-family A member 1 OS=Homo sapiens GN=ABCA1 PE=1 SV=3",1.67976736673793,4.27248217136868,1.67081817429468,0.117011013014549,0.320985766565838,-5.02574118497143
1236,"Q969S0|S35B4_HUMAN","UDP-xylose and UDP-N-acetylglucosamine transporter OS=Homo sapiens GN=SLC35B4 PE=1 SV=1",1.43919067294872,4.15219382447408,1.44050152803822,0.171771803964102,0.377551911210363,-5.34121162781453
1214,"Q02127|PYRD_HUMAN","Dihydroorotate dehydrogenase (quinone), mitochondrial OS=Homo sapiens GN=DHODH PE=1 SV=3",1.61116818782252,4.23818258191098,1.566048176643,0.139714344816107,0.342690882110769,-5.17325996824049
1178,"O60637|TSN3_HUMAN","Tetraspanin-3 OS=Homo sapiens GN=TSPAN3 PE=2 SV=1",2.69844695128513,4.78182196364228,2.28537765518407,0.0384451576653147,0.22719452216045,-4.05104415577012
897,"Q8N697|S15A4_HUMAN","Solute carrier family 15 member 4 OS=Homo sapiens GN=SLC15A4 PE=2 SV=1",3.60079093397268,5.23299395498606,3.95716090248948,0.00143840355755859,0.0726393796567086,-0.966946612341752
1217,"Q96MH6|TMM68_HUMAN","Transmembrane protein 68 OS=Homo sapiens GN=TMEM68 PE=2 SV=2",2.22409163494142,4.54464430547043,2.24073936785939,0.0418237543651802,0.231618365759798,-4.12700691448498
826,"Q9BXP2|S12A9_HUMAN","Solute carrier family 12 member 9 OS=Homo sapiens GN=SLC12A9 PE=1 SV=1",4.84074265981543,5.85296981790743,5.56495487123633,7.03568148772085e-05,0.0144180777617838,1.91374910007389
1169,"Q9H2W1|M4A6A_HUMAN","Membrane-spanning 4-domains subfamily A member 6A OS=Homo sapiens GN=MS4A6A PE=2 SV=1",1.38439523959138,4.12479610779541,1.55272601929388,0.142855624118814,0.348053943850882,-5.19155022601081
1165,"Q5JTH9|RRP12_HUMAN","RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2",1.35865503809112,4.11192600704528,1.5368438797062,0.146678924150645,0.351854385797983,-5.21321293585402
1147,"Q9H5K3|SG196_HUMAN","Protein O-mannose kinase OS=Homo sapiens GN=POMK PE=1 SV=1",1.35447661802578,4.10983679701261,1.53573497209518,0.146949086417879,0.351854385797983,-5.21471963282642
1059,"Q9H6U8|ALG9_HUMAN","Alpha-1,2-mannosyltransferase ALG9 OS=Homo sapiens GN=ALG9 PE=1 SV=2",2.29864654148454,4.58192175874199,2.57527007489645,0.0220469753759865,0.194398330497786,-3.54337584624957
963,"Q8TB61|S35B2_HUMAN","Adenosine 3'-phospho 5'-phosphosulfate transporter 1 OS=Homo sapiens GN=SLC35B2 PE=1 SV=1",1.1882457910905,4.02672138354497,1.40689155294741,0.181327117954637,0.389857131216964,-5.38444385567964
510,"Q9Y673|ALG5_HUMAN","Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens GN=ALG5 PE=1 SV=1",6.40295719827163,7.95810071469128,3.48679734134668,0.00364221145075297,0.113743332925765,-1.85295393646331
1068,"Q96KR6|F210B_HUMAN","Protein FAM210B OS=Homo sapiens GN=FAM210B PE=1 SV=2",0.977252280737034,3.92122462836823,1.24154392444095,0.234857383169317,0.44712454188208,-5.58575361695202
