"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
956,"Q01650|LAT1_HUMAN","Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2",3.22507233196481,4.39271847480553,3.69348035187979,0.00242374266234922,0.00706255647947352,-1.39474027450977
42,"P30499|1C01_HUMAN","HLA class I histocompatibility antigen, Cw-1 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",1.5703311050302,3.56534786133822,1.98619480114403,0.0670347240013508,0.0932657029584011,-4.42896294260691
231,"O75487|GPC4_HUMAN","Glypican-4 OS=Homo sapiens GN=GPC4 PE=1 SV=4",3.05197952986553,4.30617207375589,3.61368177061969,0.00283813637614308,0.00796669859969986,-1.5423776342335
632,"Q8WTV0|SCRB1_HUMAN","Scavenger receptor class B member 1 OS=Homo sapiens GN=SCARB1 PE=1 SV=1",3.55594136865678,5.11563843890213,3.24872037137226,0.00585499706043763,0.0151096698333874,-2.21793735961968
783,"P29323|EPHB2_HUMAN","Ephrin type-B receptor 2 OS=Homo sapiens GN=EPHB2 PE=1 SV=5",1.18484355998685,3.37260408881655,1.69396827779437,0.112483599670591,0.135318616145072,-4.86949244570883
681,"Q16563|SYPL1_HUMAN","Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1",-1.27113879350932,9.49813660690937,-1.25630975264483,0.229647634843359,0.262454439820982,-5.43915718624478
28,"P04264|K2C1_HUMAN","Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",1.14677340838028,18.2406674786893,2.0037224210832,0.0649303490987898,0.0911303145246173,-4.40128575288291
209,"P61421|VA0D1_HUMAN","V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=1 SV=1",1.02174711985975,3.291055868753,1.85626117314524,0.0846734694908242,0.108735097144958,-4.62991699978016
389,"P11279|LAMP1_HUMAN","Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3",6.90304098329698,6.23170280047161,11.6492181357825,1.42971421441828e-08,9.94583801334459e-08,9.07709304285379
424,"P15260|INGR1_HUMAN","Interferon gamma receptor 1 OS=Homo sapiens GN=IFNGR1 PE=1 SV=1",4.53854343105361,5.04945402434993,5.04750382937536,0.000180415587564094,0.000740166513083463,1.03336254244335
