"Protein Group","Accession","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
90,"O00264|PGRC1_HUMAN","Membrane-associated progesterone receptor component 1 OS=Homo sapiens GN=PGRMC1 PE=1 SV=3",5.52961819741311,6.79930819160665,3.59850046145491,0.00272770573761771,0.0422794389330745,-1.44307816284891
306,"P04264|K2C1_HUMAN","Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6",6.26506240868217,7.16703029724118,7.15335545015602,3.81950852977381e-06,0.000177607146634482,4.17588091731184
275,"Q96TC7|RMD3_HUMAN","Regulator of microtubule dynamics protein 3 OS=Homo sapiens GN=RMDN3 PE=1 SV=2",3.35541495302874,5.71220656941446,2.36472782408696,0.0323239830395525,0.167007245704354,-3.61963944019024
171,"O43169|CYB5B_HUMAN","Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2",5.61183014932653,6.84041416756336,4.48201953797997,0.000465065170010797,0.010812765202751,0.12234724575276
45,"Q15758|AAAT_HUMAN","Neutral amino acid transporter B(0) OS=Homo sapiens GN=SLC1A5 PE=1 SV=2",4.74659586299989,6.40779702440003,4.30701701834353,0.000657087700972121,0.0122218312380814,-0.182023063767489
141,"P05141|ADT2_HUMAN","ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7",5.53493482578865,6.80196650579441,6.54133755001138,1.05403831402807e-05,0.000326751877348701,3.35438960486639
152,"P39656|OST48_HUMAN","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4",1.70995691128555,4.88947754854286,1.90601539684667,0.0764820907894533,0.263438312719228,-4.34844975442074
249,"P43307|SSRA_HUMAN","Translocon-associated protein subunit alpha OS=Homo sapiens GN=SSR1 PE=1 SV=3",3.24353470372904,5.65626644476461,3.25119057044995,0.00551837404664894,0.0570231984820391,-2.06861048117794
711,"P11117|PPAL_HUMAN","Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3",1.54814482791294,4.80857150685656,1.73012262650988,0.10463353814064,0.313900614421919,-4.60486871419133
17,"P42167|LAP2B_HUMAN","Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2",1.26360005415638,4.66629911997828,1.63587410274864,0.123185556598114,0.330295933181494,-4.73580785129463
